"ISWR","P","RH","TA","VW","timestamp","day_of_year","Hour","hourly_abundance","hourly_biomass","n_Diptera","n_Hymenoptera","n_Lepidoptera","LED","site","position","Elevation","ISWR_r3d","P_r3d","RH_r3d","TA_r3d","VW_r3d"
0,78736.8986666667,0.988333333333333,-0.576666666666635,0.766666666666667,"2024-09-17 00:00:00",261,0,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,146.013333333333,78879.406,0.848466666666667,-1.03959999999997,2.22533333333333
0,78681.2403333333,0.990333333333333,-0.0499999999999735,0.9,"2024-09-17 03:00:00",261,3,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,146.013333333333,78880.4388666667,0.848586666666667,-0.923199999999972,2.06933333333333
36.3333333333333,78695.1286666667,0.984333333333333,0.606666666666702,1.5,"2024-09-17 06:00:00",261,6,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,147.466666666667,78880.1608,0.84844,-0.791999999999972,1.968
499.333333333333,78734.3453333333,0.927,2.67000000000002,2.26666666666667,"2024-09-17 09:00:00",261,9,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,166.013333333333,78877.2542,0.846026666666667,-0.573599999999972,1.93733333333333
743.333333333333,78749.6286666667,0.872,3.93000000000003,2.76666666666667,"2024-09-17 12:00:00",261,12,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,186,78871.211,0.84252,-0.315733333333305,1.94133333333333
422.666666666667,78773.1786666667,0.859333333333333,4.31333333333335,3.4,"2024-09-17 15:00:00",261,15,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,188.84,78862.7401333333,0.838133333333333,-0.0814666666666388,1.96
26.6666666666667,78868.852,0.934333333333333,3.13666666666668,2.2,"2024-09-17 18:00:00",261,18,0,0,0,0,0,"LED Off","Jatzhorn","Middle",2079,183.08,78855.2402,0.83632,0.114800000000027,1.948
0,78916.6053333333,0.900666666666667,2.50333333333335,1.56666666666667,"2024-09-17 21:00:00",261,21,0,0,0,0,0,"LED On","Jatzhorn","Middle",2079,182.786666666667,78846.1596,0.832786666666667,0.30653333333336,1.94533333333333
0,75695.164,0.967666666666667,7.54000000000002,0.2,"2024-07-23 00:00:00",205,0,0,0,0,0,0,"LED Off","Jatzhorn","Upper",2463,207.106666666667,75324.2954666667,0.8554,9.45986666666669,1.47066666666667
0,75657.7173333333,0.968333333333333,7.1066666666667,0.3,"2024-07-23 03:00:00",205,3,0,0,0,0,0,"LED Off","Jatzhorn","Upper",2463,207.106666666667,75330.5090666667,0.86112,9.39760000000002,1.44266666666667
