filename,camera,precision,recall,F1_score,TP,FP,FN
20240813160125.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240831152452.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240826214913.jpg,DIOPSIS-389,0.0,0.0,0.0,0,4,5
20240829073949.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240916105849.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240827181402.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240817170623.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,2
20240909221852.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240826142151.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,1
20240829231031.jpg,DIOPSIS-391,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
20240807204954.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,0
20240923154847.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,1
20240806115322.jpg,DIOPSIS-384,1.0,1.0,1.0,1,0,0
20240911222219.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,2
20240716112223.jpg,DIOPSIS-387,0.5,0.5,0.5,1,1,1
20240910174050.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240806233317.jpg,DIOPSIS-388,1.0,0.3333333333333333,0.5,1,0,2
20240824170623.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240820231042.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240727134234.jpg,DIOPSIS-391,0.0,0.0,0.0,0,1,1
20240812234812.jpg,DIOPSIS-391,0.5,0.2857142857142857,0.36363636363636365,2,2,5
20240906185623.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,1
20240821231132.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,1
20240815103300.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240801142513.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240908221953.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240714120937.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,0
20240804093041.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,2
20240719163419.jpg,DIOPSIS-389,0.0,0.0,0.0,0,1,1
20240922153100.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240731063618.jpg,DIOPSIS-391,0.0,0.0,0.0,0,0,0
20240726173859.jpg,DIOPSIS-387,0.0,0.0,0.0,0,0,1
20240726194551.jpg,DIOPSIS-385,0.0,0.0,0.0,0,1,1
20240810091724.jpg,DIOPSIS-385,0.0,0.0,0.0,0,0,0
20240716161314.jpg,DIOPSIS-387,1.0,1.0,1.0,1,0,0
20240903231910.jpg,DIOPSIS-387,1.0,1.0,1.0,2,0,0
20240731184313.jpg,DIOPSIS-383,0.0,0.0,0.0,0,0,0
20240906105447.jpg,DIOPSIS-384,1.0,1.0,1.0,1,0,0
20240806203452.jpg,DIOPSIS-389,0.0,0.0,0.0,0,0,0
20240724162147.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
20240807175853.jpg,DIOPSIS-384,0.0,0.0,0.0,0,0,0
20240812215534.jpg,DIOPSIS-388,0.0,0.0,0.0,0,0,3
20240902193249.jpg,DIOPSIS-384,0.0,0.0,0.0,0,1,1
20240812223732.jpg,DIOPSIS-388,0.3333333333333333,0.14285714285714285,0.2,1,2,6
20240825103732.jpg,DIOPSIS-421,0.0,0.0,0.0,0,0,0
